CSDUID,CSDNAME,CSDTYPE,OMEC_LAT,OMEC_LON,OMEC_RAD_M
5923809,Numukamis 1,IRI,48.89900348376213,-124.99167540715949,2080.6525659523963
5923810,Macoah 1,IRI,48.99421395789895,-125.37781984591462,755.6028803061242
5923813,Opitsat 1,IRI,49.17664082965497,-125.91041519780181,672.2914335339095
5923814,Sachsa 4,IRI,48.836781470209665,-125.10572019915527,227.5029925753182
5923816,Tsahaheh 1,IRI,49.27107395331924,-124.86428922852495,1842.131055994763
5923822,Klehkoot 2,IRI,49.29399956721998,-124.89438624625446,896.853489242619
5923823,Esowista 3,IRI,49.07197875202244,-125.7822615176299,342.18285134293325
5923824,Refuge Cove 6,IRI,49.366151056603385,-126.27108408312216,459.50249261387813
5923825,Tin Wis 11,IRI,49.131067327402974,-125.89875962227264,323.91390177931487
5924025,Gold River,VL,49.733921048251624,-126.08639425775162,7359.529603349874
5924029,Zeballos,VL,49.983173956561565,-126.85396943107948,1335.038220753876
5924030,Tahsis,VL,49.917386501066765,-126.663513816847,3243.0914100870073
5924034,Campbell River,CY,49.9923346197995,-125.33806023998571,14192.175808024063
5924039,Sayward,VL,50.377982966064664,-125.9458720618471,2702.9323223214847
5924042,Strathcona D (Oyster Bay - Buttle Lake),RDA,49.78345364973329,-125.56732698126324,34220.69884973625
5924048,Strathcona A,RDA,50.0927127947086,-126.64704543790549,95079.63552666588
5924052,Strathcona B,RDA,50.12090058553723,-124.93465625590822,13888.000427901958
5924054,Strathcona C,RDA,50.7008487633847,-125.01572425651761,92829.95366079191
5924803,Ahaminaquus 12,IRI,49.68477598325292,-126.11998581912971,294.36660903285474
5924804,Campbell River 11,IRI,50.03652966356472,-125.25467267925508,842.4221239189385
5924805,Chenahkint 12,IRI,49.874282907266995,-126.97705950358413,418.97226183811307
5924806,Houpsitas 6,IRI,50.031296960658345,-127.37761200416656,277.4525529778509
5924812,Quinsam 12,IRI,50.02114230964992,-125.29304736121435,1024.6119736669907
5924813,Village Island 1,IRI,50.01160761879353,-127.40237765076441,544.3661664881664
5924814,Yuquot 1,IRI,49.594729976550106,-126.6255325851318,953.7648361839443
5924817,Cape Mudge 10,IRI,50.01448669145553,-125.19512671263772,2381.5537805259423
